highway,cycleway.left,cycleway.right,quietness
bridleway,no,no,80
bus_guideway,no,no,10
bus_guideway,share_busway,no,15
cycleway,no,no,100
footway,no,no,80
living_street,lane,lane,100
living_street,no,lane,90
living_street,no,no,80
living_street,share_busway,no,85
motorway,no,no,10
motorway_link,no,no,10
path,no,no,80
pedestrian,no,no,80
pedestrian,share_busway,no,85
primary,lane,lane,45
primary,lane,no,35
primary,lane,share_busway,40
primary,lane,track,55
primary,no,lane,35
primary,no,no,25
primary,no,share_busway,30
primary,no,track,45
primary,share_busway,lane,40
primary,share_busway,no,30
primary,share_busway,share_busway,35
primary,share_busway,track,50
primary,track,lane,55
primary,track,no,45
primary,track,share_busway,50
primary,track,track,65
primary_link,lane,lane,45
primary_link,lane,no,35
primary_link,no,no,25
primary_link,share_busway,no,30
primary_link,track,no,45
primary_link,track,track,65
residential,lane,lane,100
residential,lane,no,90
residential,lane,track,100
residential,no,lane,90
residential,no,no,80
residential,no,share_busway,85
residential,no,track,100
residential,share_busway,lane,95
residential,share_busway,no,85
residential,track,no,100
residential,track,track,100
road,lane,lane,90
road,no,no,70
secondary,lane,lane,70
secondary,lane,no,60
secondary,lane,track,80
secondary,no,lane,60
secondary,no,no,50
secondary,no,share_busway,55
secondary,no,track,70
secondary,share_busway,lane,65
secondary,share_busway,no,55
secondary,share_busway,share_busway,60
secondary,share_busway,track,75
secondary,track,lane,80
secondary,track,no,70
secondary,track,track,90
secondary_link,lane,no,60
secondary_link,no,lane,60
secondary_link,no,no,50
secondary_link,share_busway,no,55
service,lane,lane,90
service,lane,no,80
service,no,lane,80
service,no,no,70
service,no,track,90
service,share_busway,lane,85
service,share_busway,no,75
service,track,no,90
service,track,track,100
steps,no,no,10
tertiary,lane,lane,80
tertiary,lane,no,70
tertiary,lane,share_busway,75
tertiary,lane,track,90
tertiary,no,lane,70
tertiary,no,no,60
tertiary,no,share_busway,65
tertiary,no,track,80
tertiary,share_busway,lane,75
tertiary,share_busway,no,65
tertiary,share_busway,track,85
tertiary,track,lane,90
tertiary,track,no,80
tertiary,track,track,100
tertiary_link,lane,lane,80
tertiary_link,lane,no,70
tertiary_link,no,no,60
tertiary_link,share_busway,no,65
track,no,no,70
trunk,lane,lane,40
trunk,lane,no,30
trunk,lane,share_busway,35
trunk,no,lane,30
trunk,no,no,20
trunk,no,share_busway,25
trunk,no,track,40
trunk,share_busway,lane,35
trunk,share_busway,no,25
trunk,share_busway,share_busway,30
trunk,share_busway,track,45
trunk,track,no,40
trunk,track,track,60
trunk_link,lane,lane,40
trunk_link,lane,no,30
trunk_link,no,lane,30
trunk_link,no,no,20
trunk_link,share_busway,no,25
trunk_link,track,no,40
trunk_link,track,track,60
unclassified,lane,lane,90
unclassified,lane,no,80
unclassified,lane,track,100
unclassified,no,lane,80
unclassified,no,no,70
unclassified,no,share_busway,75
unclassified,no,track,90
unclassified,share_busway,lane,85
unclassified,share_busway,no,75
unclassified,share_busway,share_busway,80
unclassified,track,no,90
unclassified,track,track,100
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
,,,#N/A
